payment_id,payment_date,amount,currency,country,payment_type,channel,counterparty_risk_score,historical_failure_count,settlement_window,is_failed,payment_year,payment_month,payment_day,day_of_week,hour_of_day,is_weekend,amount_log,is_high_value,amount_bucket,risk_band,has_prior_failures,prior_failure_band,settlement_speed_days,is_large_international,risk_adjusted_amount,amount_z_score,is_extreme_amount,amount_percentile_rank,is_top_1pct_amount,risk_adjusted_amount_z_score,is_extreme_risk_adjusted_amount,risk_score_percentile_rank,is_top_1pct_risk_score,is_high_risk_large_payment,is_large_file_payment,is_high_risk_swift_payment,is_prior_failure_high_value,country_frequency,currency_frequency,is_rare_country,is_rare_currency,rule_anomaly_score,is_rule_based_anomaly,anomaly_reasons,is_isolation_forest_anomaly,isolation_forest_anomaly_score,isolation_forest_anomaly_rank,anomaly_source,recommended_action,is_combined_anomaly
P-CDA2BAE5,2024-03-05 07:45:00,15104.32,GBP,DE,SWIFT,API,0.647,3,NEXT_DAY,False,2024,3,5,1,7,False,9.62280227863444,False,MEDIUM,HIGH,True,HIGH,1,False,9772.49504,-0.4693291264552301,False,0.1326,False,-0.3449747743966174,False,0.9762,False,False,False,False,False,0.1448,0.1622,False,False,0,False,NONE,False,0.03416861342822397,407.0,NORMAL,No anomaly review needed,False
P-D9B63832,2024-04-10 00:07:00,19430.71,AUD,JP,SWIFT,ONLINE,0.621,3,NEXT_DAY,True,2024,4,10,2,0,False,9.874661546733677,False,MEDIUM,HIGH,True,HIGH,1,False,12066.47091,-0.4508924005050137,False,0.1832,False,-0.3151544736904078,False,0.9666,False,False,False,False,False,0.1492,0.1594,False,False,0,False,NONE,False,0.027700430395655617,316.0,NORMAL,No anomaly review needed,False
P-FED7F398,2024-04-01 22:25:00,25377.94,CAD,AU,ACH,ONLINE,0.246,1,NEXT_DAY,False,2024,4,1,0,22,False,10.141674975226763,False,MEDIUM,LOW,True,LOW,1,False,6242.973239999999,-0.4255485342162819,False,0.2412,False,-0.3908564259002675,False,0.4541,False,False,False,False,False,0.1456,0.1768,False,False,0,False,NONE,False,0.11283138282103261,4781.0,NORMAL,No anomaly review needed,False
P-EF58F755,2024-03-09 21:28:00,161865.2,CAD,DE,RTP,FILE,0.121,2,NEXT_DAY,False,2024,3,9,5,21,True,11.994525347023858,False,HIGH,LOW,True,LOW,1,False,19585.6892,0.1560860868687202,False,0.7958,False,-0.2174091776671189,False,0.156,False,False,False,False,False,0.1448,0.1768,False,False,0,False,NONE,False,0.06390093553501164,1355.0,NORMAL,No anomaly review needed,False
P-23C8AB1B,2024-04-09 01:51:00,9669.73,GBP,CA,ACH,BATCH,0.15,1,SAME_DAY,False,2024,4,9,1,1,False,9.176859076807949,False,LOW,LOW,True,LOW,0,False,1450.4595,-0.4924883993089921,False,0.0682,False,-0.453156209753461,False,0.2232,False,False,False,False,False,0.135,0.1622,False,False,0,False,NONE,False,0.09050535127576803,3242.0,NORMAL,No anomaly review needed,False
P-68828DE2,2024-06-27 10:36:00,122992.17,EUR,DE,RTP,API,0.269,3,NEXT_DAY,False,2024,6,27,3,10,False,11.719884104357508,False,HIGH,LOW,True,HIGH,1,False,33084.89373,-0.0095696679209643,False,0.7238,False,-0.0419276725459567,False,0.5081,False,False,False,False,False,0.1448,0.1634,False,False,0,False,NONE,False,0.059402331267340236,1119.0,NORMAL,No anomaly review needed,False
P-A00EB3AD,2024-06-10 18:40:00,234314.83,EUR,GB,ACH,ONLINE,0.304,0,SAME_DAY,False,2024,6,10,0,18,False,12.364425185167091,False,HIGH,MEDIUM,False,NONE,0,False,71231.70831999999,0.4648270865253812,False,0.8722,False,0.4539578757435399,False,0.5844,False,False,False,False,False,0.1428,0.1634,False,False,0,False,NONE,False,0.0799009950922801,2386.0,NORMAL,No anomaly review needed,False
P-95524EF4,2024-05-31 22:31:00,28360.73,JPY,DE,SWIFT,API,0.324,3,T_PLUS_2,False,2024,5,31,4,22,False,10.252795980195993,False,MEDIUM,MEDIUM,True,HIGH,2,False,9188.87652,-0.4128375022018204,False,0.2696,False,-0.3525614626402532,False,0.6254,False,False,False,False,False,0.1448,0.1758,False,False,0,False,NONE,False,0.041346344664154766,552.0,NORMAL,No anomaly review needed,False
P-DCC6DB5E,2024-01-28 13:30:00,46109.88,CAD,AU,SWIFT,ONLINE,0.493,1,T_PLUS_2,False,2024,1,28,6,13,True,10.738804209815862,False,MEDIUM,MEDIUM,True,LOW,2,False,22732.17084,-0.3372002585877947,False,0.4062,False,-0.1765068168801384,False,0.881,False,False,False,False,False,0.1456,0.1768,False,False,0,False,NONE,False,0.06266501399426755,1282.0,NORMAL,No anomaly review needed,False
P-C903D5F0,2024-05-21 04:34:00,187020.14,JPY,GB,WIRE,ONLINE,0.246,1,SAME_DAY,False,2024,5,21,1,4,False,12.138976937575608,False,HIGH,LOW,True,LOW,0,False,46006.95444,0.263282787830524,False,0.8284,False,0.1260513115207313,False,0.4541,False,False,False,False,False,0.1428,0.1758,False,False,0,False,NONE,False,0.09912811015141043,3981.0,NORMAL,No anomaly review needed,False
P-BD0FB84E,2024-04-18 00:21:00,41319.47,EUR,AU,ACH,FILE,0.36,2,NEXT_DAY,False,2024,4,18,3,0,False,10.629113297805864,False,MEDIUM,MEDIUM,True,LOW,1,False,14875.0092,-0.3576143859224031,False,0.3744,False,-0.2786451723294027,False,0.6936,False,False,False,False,False,0.1456,0.1634,False,False,0,False,NONE,False,0.09905645692506332,3972.0,NORMAL,No anomaly review needed,False
P-3C8257C8,2024-05-05 19:27:00,32586.98,JPY,US,RTP,MOBILE,0.176,2,NEXT_DAY,False,2024,5,5,6,19,True,10.3916987877075,False,MEDIUM,LOW,True,LOW,1,False,5735.30848,-0.39482751857873,False,0.3088,False,-0.3974557611413769,False,0.2817,False,False,False,False,False,0.1398,0.1758,False,False,0,False,NONE,False,0.07411148713782156,1975.0,NORMAL,No anomaly review needed,False
P-D3A3ECA8,2024-05-28 15:53:00,130231.61,USD,GB,WIRE,MOBILE,0.383,0,SAME_DAY,False,2024,5,28,1,15,False,11.77707743822602,False,HIGH,MEDIUM,False,NONE,0,False,49878.70663,0.0212808960164141,False,0.7388,False,0.1763817513809055,False,0.7354,False,False,False,False,False,0.1428,0.1624,False,False,0,False,NONE,False,0.07227602175673975,1867.0,NORMAL,No anomaly review needed,False
P-16BFDCB7,2024-01-16 07:37:00,103695.27,CAD,GB,RTP,BATCH,0.241,1,NEXT_DAY,False,2024,1,16,1,7,False,11.54922142442896,False,HIGH,LOW,True,LOW,1,False,24990.56007,-0.0918025819644815,False,0.6762,False,-0.1471491209989409,False,0.441,False,False,False,False,False,0.1428,0.1768,False,False,0,False,NONE,False,0.0944724769973343,3618.0,NORMAL,No anomaly review needed,False
P-72DC8911,2024-06-05 12:45:00,828824.34,EUR,JP,WIRE,BATCH,0.26,0,SAME_DAY,False,2024,6,5,2,12,False,13.627764724344296,True,VERY_HIGH,LOW,False,NONE,0,True,215494.3284,2.998303936894275,False,0.9858,False,2.329284799496787,False,0.4862,False,False,False,False,False,0.1492,0.1634,False,False,0,False,NONE,True,-0.020466434077340834,145.0,MODEL_ONLY,Investigate unusual pattern,True
P-14E03EF1,2024-02-28 16:12:00,23731.38,GBP,CA,RTP,BATCH,0.203,3,NEXT_DAY,False,2024,2,28,2,16,False,10.074595639385857,False,MEDIUM,LOW,True,HIGH,1,False,4817.47014,-0.432565279234782,False,0.2258,False,-0.409387105170069,False,0.3462,False,False,False,False,False,0.135,0.1622,False,False,0,False,NONE,False,0.07458454652921576,2007.0,NORMAL,No anomaly review needed,False
P-1E81246E,2024-01-04 00:48:00,77840.7,CAD,AU,SWIFT,FILE,0.247,0,NEXT_DAY,False,2024,1,4,3,0,False,11.262432556292524,False,MEDIUM,LOW,False,NONE,1,False,19226.6529,-0.2019807262489053,False,0.5844,False,-0.2220764327025631,False,0.4567,False,False,False,False,False,0.1456,0.1768,False,False,0,False,NONE,False,0.08853191916184999,3084.0,NORMAL,No anomaly review needed,False
P-9FDC9F13,2024-02-16 22:14:00,304724.83,EUR,JP,ACH,ONLINE,0.467,1,NEXT_DAY,False,2024,2,16,4,22,False,12.627167733287658,False,HIGH,MEDIUM,True,LOW,1,False,142306.49561,0.7648762901696995,False,0.9148,False,1.3778871800294166,False,0.8582,False,False,False,False,False,0.1492,0.1634,False,False,0,False,NONE,False,0.06837796603493168,1603.0,NORMAL,No anomaly review needed,False
P-C1E2BD48,2024-04-15 18:16:00,122087.17,GBP,GB,RTP,API,0.361,2,T_PLUS_2,False,2024,4,15,0,18,False,11.712498767607984,False,HIGH,MEDIUM,True,LOW,2,False,44073.46837,-0.0134262867151428,False,0.7216,False,0.100917160472025,False,0.6958,False,False,False,False,False,0.1428,0.1622,False,False,0,False,NONE,False,0.06441287805998602,1389.0,NORMAL,No anomaly review needed,False
P-F6BE7ECA,2024-04-24 14:56:00,702881.29,CAD,CA,ACH,FILE,0.41,0,NEXT_DAY,False,2024,4,24,2,14,False,13.462944717228428,True,VERY_HIGH,MEDIUM,False,NONE,1,True,288181.3289,2.4616030157603945,False,0.979,False,3.2741719017061106,True,0.7799,False,False,True,False,False,0.135,0.1768,False,False,2,True,is_extreme_risk_adjusted_amount; is_large_file_payment,True,-0.07312165428078088,44.0,RULE_AND_MODEL,High-priority review,True
P-3361FFCC,2024-06-18 21:20:00,994872.87,GBP,IN,SWIFT,ONLINE,0.114,1,NEXT_DAY,False,2024,6,18,1,21,False,13.810371244286422,True,VERY_HIGH,LOW,True,LOW,1,True,113415.50718,3.7059126457823535,True,0.9892,False,1.0023217811299834,False,0.1412,False,False,False,False,False,0.1428,0.1622,False,False,1,True,is_extreme_amount,True,-0.017639032141911537,150.0,RULE_AND_MODEL,High-priority review,True
P-4A4F92C0,2024-02-17 16:25:00,217166.24,AUD,US,WIRE,BATCH,0.283,1,T_PLUS_2,False,2024,2,17,5,16,True,12.288423026936838,False,HIGH,LOW,True,LOW,2,False,61458.04591999999,0.3917491036660868,False,0.8558,False,0.3269061680161284,False,0.5394,False,False,False,False,False,0.1398,0.1594,False,False,0,False,NONE,False,0.05678654180560572,1016.0,NORMAL,No anomaly review needed,False
P-8FE5D165,2024-01-15 22:36:00,74143.24,AUD,IN,WIRE,BATCH,0.221,1,NEXT_DAY,False,2024,1,15,0,22,False,11.213767664171188,False,MEDIUM,LOW,True,LOW,1,False,16385.65604,-0.2177372939027431,False,0.569,False,-0.2590076758679925,False,0.3928,False,False,False,False,False,0.1428,0.1594,False,False,0,False,NONE,False,0.12115758637210244,4963.0,NORMAL,No anomaly review needed,False
P-51963776,2024-04-20 21:33:00,86985.8,JPY,DE,WIRE,FILE,0.065,0,SAME_DAY,False,2024,4,20,5,21,True,11.373511661987518,False,MEDIUM,LOW,False,NONE,0,False,5654.077,-0.1630092737244392,False,0.6224,False,-0.3985117213160628,False,0.0447,False,False,False,False,False,0.1448,0.1758,False,False,0,False,NONE,False,0.06798194681709102,1573.0,NORMAL,No anomaly review needed,False
P-860907D5,2024-04-21 03:29:00,730418.31,JPY,GB,WIRE,BATCH,0.474,1,T_PLUS_2,False,2024,4,21,6,3,True,13.501374045481883,True,VERY_HIGH,MEDIUM,True,LOW,2,True,346218.27894,2.578950848763344,False,0.9806,False,4.028617196836466,True,0.8654,False,False,False,False,False,0.1428,0.1758,False,False,1,True,is_extreme_risk_adjusted_amount,True,-0.0550676980527548,79.0,RULE_AND_MODEL,High-priority review,True
P-9BBA8CDD,2024-01-04 14:05:00,8386.74,GBP,IN,ACH,ONLINE,0.359,0,T_PLUS_2,False,2024,1,4,3,14,False,9.034526394879506,False,LOW,MEDIUM,False,NONE,2,False,3010.83966,-0.4979558063219678,False,0.0514,False,-0.4328722101718945,False,0.6917,False,False,False,False,False,0.1428,0.1622,False,False,0,False,NONE,False,0.04677809293546398,682.0,NORMAL,No anomaly review needed,False
P-76DF2455,2024-01-01 13:37:00,59245.87,AUD,GB,SWIFT,API,0.379,1,NEXT_DAY,False,2024,1,1,0,13,False,10.989468230597764,False,MEDIUM,MEDIUM,True,LOW,1,False,22454.18473,-0.2812217990141585,False,0.4928,False,-0.1801204684013941,False,0.7285,False,False,False,False,False,0.1428,0.1594,False,False,0,False,NONE,False,0.10486606569497986,4379.0,NORMAL,No anomaly review needed,False
P-0BB3F086,2024-04-10 08:16:00,108388.79,CAD,IN,ACH,BATCH,0.278,1,NEXT_DAY,False,2024,4,10,2,8,False,11.593489175359815,False,HIGH,LOW,True,LOW,1,False,30132.08362,-0.0718013472209979,False,0.6882,False,-0.0803124204241182,False,0.528,False,False,False,False,False,0.1428,0.1768,False,False,0,False,NONE,False,0.10472471544237405,4368.0,NORMAL,No anomaly review needed,False
P-1F29C488,2024-03-04 21:59:00,54939.68,AUD,AU,SWIFT,ONLINE,0.095,0,T_PLUS_2,False,2024,3,4,0,21,False,10.914009336711365,False,MEDIUM,LOW,False,NONE,2,False,5219.2696000000005,-0.299572443528306,False,0.4686,False,-0.4041639548843633,False,0.0981,False,False,False,False,False,0.1456,0.1594,False,False,0,False,NONE,False,0.06610009080434193,1473.0,NORMAL,No anomaly review needed,False
P-5AD5743B,2024-02-09 07:38:00,50340.8,CAD,GB,SWIFT,ONLINE,0.369,0,SAME_DAY,False,2024,2,9,4,7,False,10.826591024903443,False,MEDIUM,MEDIUM,False,NONE,0,False,18575.7552,-0.3191703739594348,False,0.4394,False,-0.2305377096483316,False,0.7129,False,False,False,False,False,0.1428,0.1768,False,False,0,False,NONE,False,0.09070057859007585,3265.0,NORMAL,No anomaly review needed,False
P-26DCE1B9,2024-03-07 06:50:00,116196.71,CAD,IN,WIRE,BATCH,0.248,0,NEXT_DAY,False,2024,3,7,3,6,False,11.663048415804722,False,HIGH,LOW,False,NONE,1,False,28816.78408,-0.0385282300768629,False,0.7086,False,-0.0974105199789052,False,0.4593,False,False,False,False,False,0.1428,0.1768,False,False,0,False,NONE,False,0.09766028092099144,3873.0,NORMAL,No anomaly review needed,False
P-61333909,2024-03-26 01:09:00,3613.7,EUR,JP,SWIFT,API,0.268,0,NEXT_DAY,False,2024,3,26,1,1,False,8.19276414359734,False,LOW,LOW,False,NONE,1,False,968.4716,-0.5182959121444713,False,0.012,False,-0.4594217613238681,False,0.5048,False,False,False,False,False,0.1492,0.1634,False,False,0,False,NONE,False,0.05190117252327375,840.0,NORMAL,No anomaly review needed,False
P-F3974FE9,2024-06-12 03:25:00,429559.44,AUD,IN,WIRE,BATCH,0.095,1,NEXT_DAY,True,2024,6,12,2,3,False,12.970517732275567,False,HIGH,LOW,True,LOW,1,False,40808.1468,1.2968536416502994,False,0.9496,False,0.0584699523765568,False,0.0981,False,False,False,False,False,0.1428,0.1594,False,False,0,False,NONE,False,0.07773925363430095,2216.0,NORMAL,No anomaly review needed,False
P-34BA0452,2024-04-20 07:59:00,74510.01,GBP,GB,ACH,ONLINE,0.029,0,T_PLUS_2,False,2024,4,20,5,7,True,11.218702178683388,False,MEDIUM,LOW,False,NONE,2,False,2160.79029,-0.2161743192340792,False,0.5706,False,-0.4439223385363764,False,0.0112,False,False,False,False,False,0.1428,0.1622,False,False,0,False,NONE,False,0.054190580994271875,922.0,NORMAL,No anomaly review needed,False
P-3E078815,2024-02-26 00:53:00,20939.03,JPY,CA,RTP,API,0.455,3,SAME_DAY,False,2024,2,26,0,0,False,9.949417917088258,False,MEDIUM,MEDIUM,True,HIGH,0,False,9527.25865,-0.4444647593341459,False,0.1994,False,-0.3481626993393089,False,0.8439,False,False,False,False,False,0.135,0.1758,False,False,0,False,NONE,False,0.05772735042700439,1055.0,NORMAL,No anomaly review needed,False
P-9A7809D0,2024-01-17 10:58:00,576190.57,GBP,AU,WIRE,ONLINE,0.258,0,SAME_DAY,False,2024,1,17,2,10,False,13.264195471188852,True,VERY_HIGH,LOW,False,NONE,0,True,148657.16705999998,1.9217159308985092,False,0.9678,False,1.4604420729565768,False,0.4815,False,False,False,False,False,0.1456,0.1622,False,False,0,False,NONE,True,-0.001155052126592948,196.0,MODEL_ONLY,Investigate unusual pattern,True
P-9A4A92B4,2024-03-03 07:48:00,15513.99,USD,AU,ACH,ONLINE,0.333,2,SAME_DAY,False,2024,3,3,6,7,True,9.649561932344728,False,MEDIUM,MEDIUM,True,LOW,0,False,5166.15867,-0.4675833352713504,False,0.1382,False,-0.4048543648943807,False,0.6412,False,False,False,False,False,0.1456,0.1624,False,False,0,False,NONE,False,0.08671841640657502,2928.0,NORMAL,No anomaly review needed,False
P-0CA7D10E,2024-04-22 17:29:00,25216.18,USD,CA,WIRE,BATCH,0.448,2,NEXT_DAY,False,2024,4,22,0,17,False,10.135280787248002,False,MEDIUM,MEDIUM,True,LOW,1,False,11296.84864,-0.4262378675379906,False,0.2394,False,-0.3251590983343434,False,0.8319,False,False,False,False,False,0.135,0.1624,False,False,0,False,NONE,False,0.095956928311069,3725.0,NORMAL,No anomaly review needed,False
P-754F0232,2024-03-12 21:56:00,14573.59,USD,CA,ACH,FILE,0.187,2,SAME_DAY,False,2024,3,12,1,21,False,9.587034880462822,False,MEDIUM,LOW,True,LOW,0,False,2725.26133,-0.4715908096515112,False,0.1266,False,-0.4365845559673091,False,0.3118,False,False,False,False,False,0.135,0.1624,False,False,0,False,NONE,False,0.10183057761904923,4189.0,NORMAL,No anomaly review needed,False
P-FC33359A,2024-01-07 09:06:00,69567.67,CAD,GB,SWIFT,API,0.406,0,NEXT_DAY,False,2024,1,7,6,9,True,11.15006960129927,False,MEDIUM,MEDIUM,False,NONE,1,False,28244.47402,-0.2372358897658142,False,0.5468,False,-0.1048502050730596,False,0.7735,False,False,False,False,False,0.1428,0.1768,False,False,0,False,NONE,False,0.07363636015424124,1942.0,NORMAL,No anomaly review needed,False
P-3D9D4AF8,2024-05-16 01:52:00,136845.24,CAD,GB,WIRE,BATCH,0.487,1,T_PLUS_2,False,2024,5,16,3,1,False,11.82661323875341,False,HIGH,MEDIUM,True,LOW,2,False,66643.63188,0.0494645974039751,False,0.7536,False,0.3943156533064419,False,0.8768,False,False,False,False,False,0.1428,0.1768,False,False,0,False,NONE,False,0.06619056288267067,1480.0,NORMAL,No anomaly review needed,False
P-58C6F7A0,2024-01-25 06:08:00,22481.17,JPY,GB,RTP,FILE,0.178,1,SAME_DAY,False,2024,1,25,3,6,False,10.020477829597992,False,MEDIUM,LOW,True,LOW,0,False,4001.64826,-0.4378929956797212,False,0.2124,False,-0.419992296838587,False,0.2859,False,False,False,False,False,0.1428,0.1758,False,False,0,False,NONE,False,0.09497478980123158,3662.0,NORMAL,No anomaly review needed,False
P-8AD4141B,2024-01-27 05:26:00,73499.84,JPY,DE,WIRE,ONLINE,0.424,2,SAME_DAY,True,2024,1,27,5,5,True,11.205052113707051,False,MEDIUM,MEDIUM,True,LOW,0,False,31163.93216,-0.2204791154852563,False,0.5652,False,-0.0668990126596924,False,0.7994,False,False,False,False,False,0.1448,0.1758,False,False,0,False,NONE,False,0.08914040360819764,3129.0,NORMAL,No anomaly review needed,False
P-6C2CA3B9,2024-02-05 18:25:00,116103.39,EUR,JP,WIRE,BATCH,0.144,0,NEXT_DAY,False,2024,2,5,0,18,False,11.662244979201954,False,HIGH,LOW,False,NONE,1,False,16718.88816,-0.0389259092656726,False,0.7082,False,-0.2546758595863471,False,0.2083,False,False,False,False,False,0.1492,0.1634,False,False,0,False,NONE,False,0.08780722536214636,3026.0,NORMAL,No anomaly review needed,False
P-AEFB8711,2024-04-18 10:33:00,161022.35,GBP,AU,WIRE,MOBILE,0.249,1,SAME_DAY,False,2024,4,18,3,10,False,11.989304664506514,False,HIGH,LOW,True,LOW,0,False,40094.56515,0.1524943176414568,False,0.7944,False,0.0491938219430517,False,0.4617,False,False,False,False,False,0.1456,0.1622,False,False,0,False,NONE,False,0.08851266424533794,3082.0,NORMAL,No anomaly review needed,False
P-841A1D44,2024-06-27 05:33:00,15631.79,USD,DE,WIRE,BATCH,0.595,0,SAME_DAY,False,2024,6,27,3,5,False,9.657125910364858,False,MEDIUM,MEDIUM,False,NONE,0,False,9300.91505,-0.4670813356095225,False,0.1394,False,-0.3511050294235944,False,0.953,False,False,False,False,False,0.1448,0.1624,False,False,0,False,NONE,False,0.08730411311810476,2976.0,NORMAL,No anomaly review needed,False
