payment_id,payment_date,amount,currency,country,payment_type,channel,counterparty_risk_score,historical_failure_count,settlement_window,status,failure_reason,is_failed
P-01BF8054,2024-02-28 16:12:00,23731.38,GBP,CA,RTP,BATCH,0.203,3,NEXT_DAY,SETTLED,NONE,False
P-684AE0E5,2024-01-04 00:48:00,77840.7,CAD,AU,SWIFT,FILE,0.247,0,NEXT_DAY,SETTLED,NONE,False
P-F49DBFAD,2024-02-16 22:14:00,304724.83,EUR,JP,ACH,ONLINE,0.467,1,NEXT_DAY,SETTLED,NONE,False
P-7108141F,2024-04-15 18:16:00,122087.17,GBP,GB,RTP,API,0.361,2,T_PLUS_2,SETTLED,NONE,False
P-ED655E4C,2024-04-24 14:56:00,702881.29,CAD,CA,ACH,FILE,0.41,0,NEXT_DAY,SETTLED,NONE,False
P-D4A49A6B,2024-06-18 21:20:00,994872.87,GBP,IN,SWIFT,ONLINE,0.114,1,NEXT_DAY,SETTLED,NONE,False
P-2826521C,2024-02-17 16:25:00,217166.24,AUD,US,WIRE,BATCH,0.283,1,T_PLUS_2,SETTLED,NONE,False
P-92C5FA29,2024-01-15 22:36:00,74143.24,AUD,IN,WIRE,BATCH,0.221,1,NEXT_DAY,SETTLED,NONE,False
P-10520ECA,2024-04-20 21:33:00,86985.8,JPY,DE,WIRE,FILE,0.065,0,SAME_DAY,SETTLED,NONE,False
P-40AC3596,2024-04-21 03:29:00,730418.31,JPY,GB,WIRE,BATCH,0.474,1,T_PLUS_2,SETTLED,NONE,False
P-F7F79CB8,2024-01-04 14:05:00,8386.74,GBP,IN,ACH,ONLINE,0.359,0,T_PLUS_2,PENDING,NONE,False
P-BB937FA1,2024-01-01 13:37:00,59245.87,AUD,GB,SWIFT,API,0.379,1,NEXT_DAY,SETTLED,NONE,False
P-08C77EE6,2024-04-10 08:16:00,108388.79,CAD,IN,ACH,BATCH,0.278,1,NEXT_DAY,SETTLED,NONE,False
P-AC74A8D3,2024-03-04 21:59:00,54939.68,AUD,AU,SWIFT,ONLINE,0.095,0,T_PLUS_2,SETTLED,NONE,False
P-25B5757E,2024-02-09 07:38:00,50340.8,CAD,GB,SWIFT,ONLINE,0.369,0,SAME_DAY,SETTLED,NONE,False
P-37BFB205,2024-03-07 06:50:00,116196.71,CAD,IN,WIRE,BATCH,0.248,0,NEXT_DAY,SETTLED,NONE,False
P-5A97D407,2024-03-26 01:09:00,3613.7,EUR,JP,SWIFT,API,0.268,0,NEXT_DAY,SETTLED,NONE,False
P-5AE420CF,2024-06-12 03:25:00,429559.44,AUD,IN,WIRE,BATCH,0.095,1,NEXT_DAY,FAILED,COMPLIANCE_REVIEW,True
P-4D37C5DE,2024-04-20 07:59:00,74510.01,GBP,GB,ACH,ONLINE,0.029,0,T_PLUS_2,SETTLED,NONE,False
P-0A3347BF,2024-02-26 00:53:00,20939.03,JPY,CA,RTP,API,0.455,3,SAME_DAY,SETTLED,NONE,False
P-573CA846,2024-01-17 10:58:00,576190.57,GBP,AU,WIRE,ONLINE,0.258,0,SAME_DAY,SETTLED,NONE,False
P-596C3F44,2024-03-03 07:48:00,15513.99,USD,AU,ACH,ONLINE,0.333,2,SAME_DAY,SETTLED,NONE,False
P-9FF49284,2024-04-22 17:29:00,25216.18,USD,CA,WIRE,BATCH,0.448,2,NEXT_DAY,SETTLED,NONE,False
P-25A68415,2024-03-12 21:56:00,14573.59,USD,CA,ACH,FILE,0.187,2,SAME_DAY,SETTLED,NONE,False
P-0C943F5C,2024-01-07 09:06:00,69567.67,CAD,GB,SWIFT,API,0.406,0,NEXT_DAY,SETTLED,NONE,False
P-F43307E2,2024-05-16 01:52:00,136845.24,CAD,GB,WIRE,BATCH,0.487,1,T_PLUS_2,SETTLED,NONE,False
P-6C42FFC2,2024-01-25 06:08:00,22481.17,JPY,GB,RTP,FILE,0.178,1,SAME_DAY,SETTLED,NONE,False
P-E6ECEE03,2024-01-27 05:26:00,73499.84,JPY,DE,WIRE,ONLINE,0.424,2,SAME_DAY,FAILED,SFTP_FILE_DELAY,True
P-A2699E02,2024-02-05 18:25:00,116103.39,EUR,JP,WIRE,BATCH,0.144,0,NEXT_DAY,SETTLED,NONE,False
P-9BB54DC1,2024-04-18 10:33:00,161022.35,GBP,AU,WIRE,MOBILE,0.249,1,SAME_DAY,SETTLED,NONE,False
P-CAE36FC6,2024-06-27 05:33:00,15631.79,USD,DE,WIRE,BATCH,0.595,0,SAME_DAY,SETTLED,NONE,False
P-DE2F44B2,2024-01-26 14:31:00,41384.32,GBP,GB,RTP,FILE,0.131,4,NEXT_DAY,SETTLED,NONE,False
P-B565CD9F,2024-04-25 06:34:00,280233.41,EUR,AU,RTP,API,0.184,0,NEXT_DAY,SETTLED,NONE,False
P-DC552F3B,2024-04-02 21:24:00,184598.89,USD,IN,WIRE,BATCH,0.282,0,SAME_DAY,SETTLED,NONE,False
P-B4126A56,2024-03-02 20:43:00,277482.24,CAD,DE,WIRE,BATCH,0.025,0,T_PLUS_2,FAILED,SFTP_FILE_DELAY,True
P-5F61DEAE,2024-02-06 15:00:00,14420.38,USD,JP,RTP,FILE,0.562,0,SAME_DAY,SETTLED,NONE,False
P-3D317CE3,2024-02-23 20:50:00,44619.06,JPY,JP,RTP,FILE,0.103,1,SAME_DAY,SETTLED,NONE,False
P-B59230CF,2024-03-02 16:23:00,76813.46,CAD,IN,ACH,ONLINE,0.42,4,SAME_DAY,SETTLED,NONE,False
P-CE291452,2024-02-07 07:58:00,53931.47,CAD,CA,WIRE,API,0.45,5,NEXT_DAY,SETTLED,NONE,False
P-6445E53F,2024-04-01 00:58:00,120639.31,CAD,DE,WIRE,MOBILE,0.398,2,SAME_DAY,SETTLED,NONE,False
P-34CAE9CA,2024-01-12 06:01:00,97415.55,GBP,CA,SWIFT,API,0.391,1,NEXT_DAY,SETTLED,NONE,False
P-50B31FA3,2024-02-06 21:03:00,71400.23,CAD,IN,ACH,API,0.215,1,SAME_DAY,SETTLED,NONE,False
P-B9ADAD34,2024-04-20 14:31:00,111565.55,JPY,GB,ACH,FILE,0.219,1,NEXT_DAY,SETTLED,NONE,False
P-A51ACB9B,2024-01-22 10:26:00,593009.39,GBP,GB,SWIFT,BATCH,0.11,0,SAME_DAY,FAILED,NETWORK_ERROR,True
P-CC0DF0AA,2024-01-08 14:26:00,6528.11,EUR,JP,SWIFT,API,0.151,1,SAME_DAY,SETTLED,NONE,False
P-88D74803,2024-06-14 15:56:00,472123.72,AUD,DE,SWIFT,API,0.399,0,SAME_DAY,SETTLED,NONE,False
P-FB5E38B8,2024-01-11 21:50:00,102087.57,CAD,CA,WIRE,BATCH,0.062,3,T_PLUS_2,SETTLED,NONE,False
P-4D8A7977,2024-06-06 00:12:00,37719.32,USD,US,ACH,API,0.081,1,SAME_DAY,SETTLED,NONE,False
P-EE548AB9,2024-01-08 07:49:00,48299.94,EUR,IN,WIRE,API,0.096,1,NEXT_DAY,SETTLED,NONE,False
P-650E8F93,2024-01-12 22:11:00,181599.76,JPY,IN,SWIFT,API,0.204,1,NEXT_DAY,SETTLED,NONE,False
P-43C244B1,2024-04-06 06:11:00,17363.2,CAD,AU,ACH,ONLINE,0.155,0,SAME_DAY,SETTLED,NONE,False
P-FE39A1CC,2024-04-07 03:01:00,5448.56,USD,IN,RTP,BATCH,0.391,1,NEXT_DAY,SETTLED,NONE,False
P-F21DEDE0,2024-04-28 04:04:00,290782.92,EUR,GB,WIRE,FILE,0.217,2,SAME_DAY,PENDING,NONE,False
P-347EB2E9,2024-01-05 00:39:00,152119.14,AUD,CA,WIRE,ONLINE,0.318,1,SAME_DAY,SETTLED,NONE,False
P-040AB12D,2024-06-13 14:36:00,8585.68,GBP,DE,ACH,ONLINE,0.525,2,NEXT_DAY,SETTLED,NONE,False
P-1A21A629,2024-01-01 22:34:00,263135.48,JPY,CA,SWIFT,API,0.204,1,SAME_DAY,SETTLED,NONE,False
P-7714EE87,2024-03-24 22:44:00,144230.51,CAD,US,WIRE,ONLINE,0.239,1,SAME_DAY,SETTLED,NONE,False
P-11BD1C58,2024-06-19 09:29:00,103057.45,JPY,DE,ACH,API,0.376,0,T_PLUS_2,SETTLED,NONE,False
P-F1FB383F,2024-06-09 08:24:00,1070995.02,USD,JP,ACH,FILE,0.192,0,T_PLUS_2,SETTLED,NONE,False
P-B99E2A2B,2024-02-23 06:24:00,528843.18,CAD,US,ACH,BATCH,0.375,2,SAME_DAY,SETTLED,NONE,False
P-CFFECAA3,2024-01-09 02:20:00,226638.66,EUR,AU,WIRE,BATCH,0.224,1,NEXT_DAY,SETTLED,NONE,False
P-769D3B06,2024-05-30 10:54:00,499797.34,EUR,DE,WIRE,ONLINE,0.185,3,SAME_DAY,SETTLED,NONE,False
P-ADA2A0B3,2024-01-02 16:12:00,69924.29,GBP,AU,ACH,BATCH,0.278,2,SAME_DAY,SETTLED,NONE,False
P-59BF74C4,2024-01-07 21:00:00,1000946.87,JPY,DE,ACH,ONLINE,0.436,1,NEXT_DAY,SETTLED,NONE,False
P-AC30D136,2024-02-19 23:18:00,106128.35,GBP,CA,WIRE,FILE,0.02,2,T_PLUS_2,SETTLED,NONE,False
P-E1DF4001,2024-06-11 06:31:00,12636.55,JPY,JP,SWIFT,FILE,0.343,2,NEXT_DAY,SETTLED,NONE,False
P-3B846915,2024-03-08 05:41:00,12189.07,CAD,CA,ACH,ONLINE,0.451,1,SAME_DAY,SETTLED,NONE,False
P-3C2AF8C6,2024-01-08 05:07:00,582913.02,CAD,IN,ACH,API,0.109,2,NEXT_DAY,SETTLED,NONE,False
P-AB0DAAC2,2024-03-17 14:56:00,104313.03,CAD,DE,ACH,API,0.399,0,T_PLUS_2,PENDING,NONE,False
P-8E99684B,2024-03-05 20:19:00,98994.82,EUR,IN,WIRE,FILE,0.028,0,SAME_DAY,SETTLED,NONE,False
P-AF6D4E11,2024-03-15 02:51:00,24367.0,USD,CA,SWIFT,FILE,0.421,0,NEXT_DAY,SETTLED,NONE,False
P-0535B0B6,2024-06-06 23:41:00,20584.73,AUD,AU,RTP,FILE,0.206,1,SAME_DAY,SETTLED,NONE,False
P-8F348DC9,2024-01-14 00:45:00,82526.17,JPY,IN,ACH,BATCH,0.309,1,SAME_DAY,SETTLED,NONE,False
P-F0BFA152,2024-02-01 12:30:00,59222.52,AUD,IN,ACH,API,0.303,0,SAME_DAY,SETTLED,NONE,False
P-9BC68AD6,2024-03-23 08:34:00,1870.71,JPY,AU,WIRE,ONLINE,0.33,1,NEXT_DAY,PENDING,NONE,False
P-6B45807E,2024-06-12 05:38:00,358208.81,CAD,US,SWIFT,BATCH,0.267,0,SAME_DAY,SETTLED,NONE,False
P-C204853F,2024-05-28 09:22:00,171526.75,AUD,CA,WIRE,API,0.324,0,NEXT_DAY,SETTLED,NONE,False
P-C9313F17,2024-04-26 03:33:00,52988.02,EUR,AU,WIRE,BATCH,0.086,1,NEXT_DAY,SETTLED,NONE,False
P-575A8EB7,2024-01-21 10:54:00,243253.96,GBP,US,WIRE,FILE,0.12,0,SAME_DAY,PENDING,NONE,False
P-0D4C7542,2024-05-08 12:50:00,73129.23,EUR,GB,WIRE,BATCH,0.432,1,T_PLUS_2,SETTLED,NONE,False
P-5F1ACDB3,2024-03-21 07:39:00,11889.95,GBP,JP,SWIFT,API,0.117,0,SAME_DAY,FAILED,NETWORK_ERROR,True
P-AA400399,2024-05-19 07:01:00,25605.87,USD,US,WIRE,ONLINE,0.403,0,SAME_DAY,SETTLED,NONE,False
P-899E4511,2024-06-22 16:55:00,343431.32,JPY,DE,ACH,BATCH,0.655,2,T_PLUS_2,SETTLED,NONE,False
P-E0D43B31,2024-03-29 21:27:00,5655.43,CAD,GB,SWIFT,BATCH,0.521,3,T_PLUS_2,FAILED,COMPLIANCE_REVIEW,True
P-B266CEDC,2024-02-08 11:46:00,96724.84,GBP,DE,ACH,API,0.076,0,NEXT_DAY,SETTLED,NONE,False
P-E7142FA0,2024-05-07 13:38:00,217623.04,USD,CA,ACH,BATCH,0.504,1,SAME_DAY,SETTLED,NONE,False
P-1DEDCBF9,2024-02-25 18:36:00,382097.54,CAD,US,WIRE,ONLINE,0.503,1,NEXT_DAY,SETTLED,NONE,False
P-08DD5BF5,2024-02-26 12:19:00,130344.54,EUR,JP,WIRE,API,0.225,0,NEXT_DAY,FAILED,NETWORK_ERROR,True
P-F55050D8,2024-05-29 23:44:00,194187.99,CAD,IN,SWIFT,ONLINE,0.227,1,SAME_DAY,SETTLED,NONE,False
P-34ACAB3B,2024-02-16 10:56:00,26907.91,JPY,IN,RTP,ONLINE,0.02,0,NEXT_DAY,SETTLED,NONE,False
P-10E69AD9,2024-04-16 16:29:00,75193.3,USD,IN,WIRE,FILE,0.393,1,SAME_DAY,SETTLED,NONE,False
P-0256E79D,2024-01-04 06:38:00,221128.3,AUD,IN,ACH,API,0.443,1,SAME_DAY,SETTLED,NONE,False
P-B9FBD533,2024-05-14 02:54:00,1909.24,USD,JP,SWIFT,ONLINE,0.184,0,NEXT_DAY,FAILED,NETWORK_ERROR,True
P-3B51D788,2024-01-21 03:49:00,261011.53,JPY,IN,ACH,BATCH,0.519,0,NEXT_DAY,SETTLED,NONE,False
P-933E3724,2024-02-18 18:50:00,7219.93,EUR,GB,RTP,API,0.245,1,T_PLUS_2,SETTLED,NONE,False
P-8968F0D9,2024-02-12 08:38:00,31733.77,USD,CA,WIRE,BATCH,0.246,1,SAME_DAY,SETTLED,NONE,False
P-9596C6A4,2024-06-16 05:59:00,94407.75,AUD,IN,WIRE,BATCH,0.481,1,SAME_DAY,SETTLED,NONE,False
P-59EF138F,2024-04-25 13:26:00,177144.63,GBP,DE,RTP,FILE,0.434,1,NEXT_DAY,SETTLED,NONE,False
P-D1389C82,2024-02-20 10:55:00,66389.05,JPY,DE,WIRE,API,0.451,1,SAME_DAY,SETTLED,NONE,False
P-E749040D,2024-03-20 02:44:00,9707.33,JPY,DE,ACH,BATCH,0.215,2,NEXT_DAY,SETTLED,NONE,False
P-7EEA2097,2024-05-08 12:54:00,43536.01,AUD,US,WIRE,ONLINE,0.399,2,SAME_DAY,SETTLED,NONE,False
P-DF4605F4,2024-01-09 19:37:00,185934.1,CAD,CA,SWIFT,BATCH,0.411,1,T_PLUS_2,PENDING,NONE,False
P-77623478,2024-06-09 20:34:00,524107.13,JPY,US,WIRE,FILE,0.211,0,NEXT_DAY,SETTLED,NONE,False
P-E50F1E41,2024-03-06 02:39:00,58253.43,JPY,DE,ACH,BATCH,0.301,2,NEXT_DAY,SETTLED,NONE,False
P-DF948EF6,2024-05-24 06:08:00,105184.48,USD,AU,ACH,API,0.193,0,NEXT_DAY,PENDING,NONE,False
P-070A15D7,2024-03-18 19:48:00,26547.9,GBP,JP,SWIFT,BATCH,0.211,2,T_PLUS_2,PENDING,NONE,False
P-96358926,2024-04-29 05:52:00,45879.19,USD,GB,RTP,FILE,0.324,1,NEXT_DAY,SETTLED,NONE,False
P-9BDABCDF,2024-03-08 07:01:00,72054.57,CAD,JP,ACH,BATCH,0.053,0,SAME_DAY,SETTLED,NONE,False
P-A119F1A2,2024-05-16 03:34:00,187281.69,USD,AU,WIRE,API,0.718,2,NEXT_DAY,SETTLED,NONE,False
P-A02D485E,2024-01-20 18:03:00,33023.34,USD,DE,SWIFT,API,0.07,2,NEXT_DAY,SETTLED,NONE,False
P-4D6919F4,2024-01-12 05:25:00,22611.47,JPY,IN,SWIFT,MOBILE,0.289,1,SAME_DAY,FAILED,SFTP_FILE_DELAY,True
P-52E88147,2024-02-15 16:07:00,58469.33,GBP,GB,ACH,MOBILE,0.088,0,SAME_DAY,SETTLED,NONE,False
P-9319A453,2024-05-18 12:45:00,219998.39,USD,IN,WIRE,ONLINE,0.132,2,SAME_DAY,SETTLED,NONE,False
P-E778E3AB,2024-06-25 14:19:00,30021.0,CAD,US,WIRE,API,0.077,4,T_PLUS_2,SETTLED,NONE,False
P-C5160E77,2024-04-14 09:01:00,25592.48,AUD,US,WIRE,BATCH,0.329,0,SAME_DAY,SETTLED,NONE,False
P-1F3633F8,2024-04-10 20:48:00,65658.49,GBP,GB,WIRE,API,0.461,4,SAME_DAY,SETTLED,NONE,False
P-E8C5882D,2024-03-19 08:22:00,48554.13,USD,IN,SWIFT,API,0.118,1,SAME_DAY,SETTLED,NONE,False
P-18806B76,2024-01-19 09:59:00,16098.74,GBP,DE,WIRE,ONLINE,0.219,0,SAME_DAY,PENDING,NONE,False
P-24FD35C3,2024-03-28 02:10:00,276058.59,GBP,US,ACH,FILE,0.112,0,NEXT_DAY,SETTLED,NONE,False
P-A4B4FA6F,2024-05-03 04:34:00,688874.22,CAD,JP,ACH,ONLINE,0.109,1,T_PLUS_2,SETTLED,NONE,False
P-0AC835A4,2024-03-26 20:58:00,79817.0,JPY,US,RTP,BATCH,0.606,0,T_PLUS_2,SETTLED,NONE,False
P-36BC86E6,2024-05-20 14:33:00,15488.9,GBP,GB,ACH,BATCH,0.282,1,SAME_DAY,SETTLED,NONE,False
P-C2427D1E,2024-04-26 01:10:00,2874.56,USD,GB,SWIFT,API,0.26,1,NEXT_DAY,PENDING,NONE,False
P-F2BB0EF0,2024-06-02 15:43:00,12951.95,AUD,CA,WIRE,ONLINE,0.162,0,NEXT_DAY,PENDING,NONE,False
P-BC65745A,2024-01-04 06:44:00,231251.31,EUR,JP,ACH,ONLINE,0.532,2,NEXT_DAY,SETTLED,NONE,False
P-502178AC,2024-06-17 23:34:00,2585160.73,GBP,AU,ACH,FILE,0.356,2,SAME_DAY,SETTLED,NONE,False
P-59460BAB,2024-05-07 03:29:00,37563.11,AUD,US,SWIFT,MOBILE,0.632,5,SAME_DAY,SETTLED,NONE,False
P-D3EEF5F2,2024-01-13 23:46:00,752633.38,CAD,CA,SWIFT,ONLINE,0.469,0,SAME_DAY,SETTLED,NONE,False
P-0A84A7CF,2024-01-21 18:52:00,89625.22,JPY,DE,ACH,FILE,0.412,0,T_PLUS_2,PENDING,NONE,False
P-2E6A0758,2024-01-08 17:11:00,354153.69,USD,AU,WIRE,BATCH,0.179,3,NEXT_DAY,SETTLED,NONE,False
P-49FD9123,2024-03-27 23:49:00,33191.08,AUD,DE,ACH,API,0.098,0,SAME_DAY,SETTLED,NONE,False
P-943B85D6,2024-06-27 04:16:00,4973.58,JPY,US,ACH,MOBILE,0.137,2,NEXT_DAY,PENDING,NONE,False
P-71F167C6,2024-05-19 04:41:00,75173.48,EUR,AU,WIRE,BATCH,0.439,3,NEXT_DAY,SETTLED,NONE,False
P-925B8E15,2024-04-09 12:22:00,59622.63,JPY,US,WIRE,ONLINE,0.12,1,NEXT_DAY,SETTLED,NONE,False
P-13D0FCE3,2024-01-13 16:53:00,12193.84,CAD,CA,ACH,ONLINE,0.093,1,NEXT_DAY,SETTLED,NONE,False
P-56A89260,2024-06-19 03:57:00,78892.91,CAD,DE,ACH,BATCH,0.512,1,SAME_DAY,SETTLED,NONE,False
P-05A30F61,2024-06-10 04:05:00,18156.44,JPY,DE,SWIFT,BATCH,0.171,0,NEXT_DAY,SETTLED,NONE,False
P-2FB26CEC,2024-02-14 21:58:00,6214.31,USD,US,SWIFT,BATCH,0.082,2,NEXT_DAY,SETTLED,NONE,False
P-DB3554B0,2024-03-15 14:31:00,153825.67,JPY,GB,SWIFT,MOBILE,0.166,1,NEXT_DAY,SETTLED,NONE,False
P-5E5060B6,2024-02-18 14:51:00,46776.06,GBP,DE,ACH,ONLINE,0.266,1,NEXT_DAY,SETTLED,NONE,False
P-04EDB3C1,2024-05-13 05:21:00,80483.36,AUD,IN,WIRE,FILE,0.125,0,NEXT_DAY,SETTLED,NONE,False
P-0AF02100,2024-03-08 02:59:00,83958.85,AUD,CA,WIRE,API,0.464,2,T_PLUS_2,SETTLED,NONE,False
P-CF0724E1,2024-04-03 00:42:00,136702.23,GBP,DE,WIRE,ONLINE,0.091,2,NEXT_DAY,SETTLED,NONE,False
P-30E2D8BC,2024-02-24 07:47:00,19001.56,EUR,IN,SWIFT,API,0.255,0,NEXT_DAY,SETTLED,NONE,False
P-271B8BDB,2024-05-27 20:29:00,4722.07,GBP,IN,WIRE,ONLINE,0.133,2,NEXT_DAY,SETTLED,NONE,False
P-E2D51E81,2024-04-14 04:57:00,6375.08,EUR,CA,ACH,API,0.503,0,SAME_DAY,SETTLED,NONE,False
P-3EF7054F,2024-02-16 22:06:00,29224.09,USD,US,ACH,API,0.576,0,SAME_DAY,SETTLED,NONE,False
P-A8C904F4,2024-05-01 14:34:00,40980.41,AUD,JP,SWIFT,FILE,0.537,0,NEXT_DAY,SETTLED,NONE,False
P-70AACE83,2024-04-25 22:44:00,17395.77,CAD,US,WIRE,FILE,0.585,0,NEXT_DAY,SETTLED,NONE,False
P-AB71DB0F,2024-01-25 15:26:00,137075.09,CAD,US,RTP,BATCH,0.01,1,SAME_DAY,SETTLED,NONE,False
P-5F1E60BF,2024-06-18 09:31:00,15084.86,GBP,IN,ACH,BATCH,0.107,0,T_PLUS_2,SETTLED,NONE,False
P-25015B25,2024-02-05 16:40:00,106549.57,USD,US,RTP,ONLINE,0.124,0,SAME_DAY,SETTLED,NONE,False
P-01F9C4F8,2024-02-21 20:02:00,18075.76,EUR,AU,SWIFT,BATCH,0.335,1,T_PLUS_2,SETTLED,NONE,False
P-9F74C5C8,2024-06-10 22:03:00,87032.96,CAD,AU,WIRE,BATCH,0.149,1,NEXT_DAY,SETTLED,NONE,False
P-71B673FB,2024-03-20 10:09:00,45967.71,GBP,CA,SWIFT,API,0.331,0,T_PLUS_2,SETTLED,NONE,False
P-E1A14D9C,2024-01-12 20:10:00,120098.07,JPY,AU,ACH,FILE,0.372,2,NEXT_DAY,SETTLED,NONE,False
P-ADFA0FAB,2024-05-02 01:29:00,48058.31,CAD,GB,WIRE,MOBILE,0.224,0,SAME_DAY,SETTLED,NONE,False
P-EE404E24,2024-03-02 09:16:00,114607.45,CAD,JP,SWIFT,API,0.278,0,SAME_DAY,PENDING,NONE,False
P-7C43DE9C,2024-02-04 15:01:00,81824.88,EUR,IN,WIRE,MOBILE,0.472,0,NEXT_DAY,SETTLED,NONE,False
P-C83FC1C1,2024-05-13 14:26:00,186863.86,AUD,DE,WIRE,ONLINE,0.122,2,SAME_DAY,FAILED,COMPLIANCE_REVIEW,True
P-5B96ACB2,2024-05-29 18:47:00,43218.07,EUR,US,SWIFT,API,0.563,0,SAME_DAY,PENDING,NONE,False
P-BC2014C0,2024-01-27 21:49:00,10578.5,CAD,JP,WIRE,BATCH,0.397,0,T_PLUS_2,SETTLED,NONE,False
P-4F19C49D,2024-06-16 06:48:00,344871.99,GBP,JP,SWIFT,FILE,0.37,1,SAME_DAY,SETTLED,NONE,False
P-C785855B,2024-04-11 00:54:00,18625.03,AUD,DE,WIRE,API,0.053,0,SAME_DAY,SETTLED,NONE,False
P-86C86E9E,2024-02-27 10:58:00,174749.26,GBP,IN,ACH,FILE,0.422,2,SAME_DAY,SETTLED,NONE,False
P-24650292,2024-02-23 23:03:00,28939.62,JPY,DE,WIRE,MOBILE,0.575,0,SAME_DAY,SETTLED,NONE,False
P-553DB687,2024-05-08 03:11:00,7128.06,JPY,AU,ACH,API,0.394,4,SAME_DAY,SETTLED,NONE,False
P-4DB738A3,2024-04-22 20:08:00,67475.98,USD,CA,SWIFT,ONLINE,0.048,1,T_PLUS_2,SETTLED,NONE,False
